"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"CD24",NA,NA,NA,NA,NA,NA,"2.81469392525727","3.86378881279583","3.22247785269433",NA,NA,NA,"2.9666453378483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.92910671496956","2.25075501191429","3.8977106667553","3.93079167597702",NA,"2.10003221935905",NA,NA,NA,NA
"CD247",NA,NA,NA,NA,NA,NA,"-2.74297574412198","-1.506082183099","-1.62553544293161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.12491952808517","-1.14801382914677",NA,"-1.20012022121406","-1.98746561413005",NA,NA,NA,NA,NA,NA
"CD27",NA,NA,NA,NA,NA,NA,"-2.24983425105077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.37599902752885","-1.29239600097106","-1.69547519942969",NA,NA,NA,NA,NA,NA
"CD276",NA,NA,NA,"1.19735865613187",NA,"3.90118457039337",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.18315191037892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33897288573286",NA,NA
"CD28",NA,NA,NA,NA,NA,NA,"-3.03392567984166","-2.64313340994436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.39705486812947","-2.33826132046787","-1.42245726073529",NA,NA,NA,NA,NA,NA,NA
"CD38",NA,NA,NA,NA,NA,NA,NA,"1.32574327785924",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.25093621553447",NA,NA,NA,"1.86459104558328","1.23496796140031",NA,"1.54562911493951",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD3G",NA,NA,NA,NA,NA,"-1.7210956315613","-3.31578940188731","-2.69841132254457","-2.38347670950115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.99953160328417","-2.21356685772954","-1.62131391231947","-2.00437276619996",NA,"-1.46784453713984",NA,NA,NA,NA
"CD40",NA,NA,NA,NA,NA,NA,NA,"-1.25942694372605","-2.09719127154508","-1.25131590139666",NA,NA,"-1.90587807332158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.24341621320546",NA,"-1.84770827063888",NA,"-1.44655985080742",NA,NA,NA,NA,NA,NA
"CD40LG",NA,NA,NA,NA,NA,"-1.2283674016748","-3.08663410723056","-3.24049036096002","-3.36677445232264",NA,NA,NA,"-2.20484813592312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98611544146123","-2.82655510664254","-1.79022657891684","-2.1735985628872",NA,"-2.90293471499318",NA,NA,NA,NA
"CD44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.05257748042681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD55",NA,NA,NA,NA,NA,NA,"1.27425111256681","1.0124653755449","1.28329577158797",NA,"1.24958225946413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.71787265363625",NA,"1.29570660566456",NA,"1.45900439552886",NA,NA,NA,NA
"CD58",NA,NA,NA,NA,NA,NA,"1.47392549817926","1.18762980469781","1.00902956920111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10205995349732","1.17586042402004",NA,NA,NA,NA,NA,NA,NA,NA
"CD6",NA,NA,NA,NA,NA,NA,"-3.38831077397836","-2.67554461274383","-2.18155602619397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.1048110173519","-2.36183418014262","-1.68553202537158","-2.43802566470498",NA,NA,NA,NA,NA,NA
"CD68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.01794029616771",NA,NA,NA,NA,NA,NA
"CD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.04142925368935","-1.09558254758272",NA,"-1.04695124616544","-2.37950682176782",NA,NA,NA,NA,NA,NA
"CD79A",NA,NA,NA,NA,NA,NA,"-3.92764072360987",NA,"-4.3922051999124",NA,NA,NA,"-3.69972414374144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.98838015507302",NA,NA,NA
"CD79B",NA,NA,NA,NA,NA,NA,"-2.97835878931123",NA,"-2.32192492513666","-1.47495003442752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.65001534538255",NA,"-1.39073537435266",NA,NA,NA,NA,NA,NA
"CD81",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"CD83",NA,NA,NA,NA,NA,"1.89779474953653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.17395366269005","1.84655853084197",NA,NA,NA,NA,NA,NA,NA,"-2.20891402063021",NA,NA
"CD86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.24485166172727",NA,NA,NA,"-1.03313912287872",NA,NA,NA,NA
"CD8B",NA,NA,NA,NA,NA,NA,"-3.84311358238712","-2.35706012054403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.98110482009602",NA,"-1.56613930958796",NA,NA,NA,NA,NA,NA,NA
"CDC42",NA,NA,NA,NA,NA,NA,NA,NA,"1.10151455306695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0250032019149",NA,NA,NA,NA,NA,"-1.02165893357593",NA,NA
"CDH26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.52590074493985",NA,"1.23659332703268",NA,NA,NA,NA,NA,NA
"CDK6",NA,NA,NA,NA,NA,NA,"-1.380781241341","-1.00847812403335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.16971737403807",NA,NA,NA,NA,NA,NA,NA,NA
"CDKN2B",NA,NA,NA,NA,NA,NA,"1.76422735363095","1.59083064246667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33294995778152","1.36458650137866","2.12539056223275",NA,NA,NA,NA,NA,NA,NA
"CEBPB",NA,NA,NA,NA,NA,NA,"1.60651295863091","1.52195587775251",NA,NA,NA,NA,NA,NA,NA,"1.02198882198944",NA,NA,NA,NA,NA,NA,"-1.27666989975928",NA,NA,"1.52775062014433",NA,NA,NA,"1.0890082310377",NA,"-1.08067677538534",NA,NA
"CFB",NA,NA,NA,"1.65524178308608","1.49295060830177",NA,"1.51131124202504","1.76147486763364",NA,NA,NA,NA,NA,NA,NA,"2.30700204350426",NA,NA,"2.42915834998983",NA,NA,"2.45873827119778",NA,"3.49059481542131","2.01952613555034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.05907568923989",NA,NA,NA,"1.92308912933712",NA,"1.4187262961343",NA,NA,NA,"2.27334103786593",NA,"1.31444692864368",NA,"1.80062754960965",NA,NA,NA,NA
"CFH",NA,NA,NA,NA,NA,NA,"-2.55231709107059","-1.41189043017959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.21485466479972",NA,"1.07308425443437",NA,NA,NA,NA
"CH25H",NA,NA,NA,NA,NA,NA,NA,"6.38046902452753",NA,"4.58974769754743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.54984334675043","5.23749458979253","4.30974170645012","4.69623136525964",NA,"5.66875956494047",NA,NA,NA,NA
"CHGA",NA,NA,NA,NA,NA,"1.68349596399042",NA,"1.16032849541152",NA,NA,"1.6217019579494",NA,NA,NA,NA,NA,NA,NA,NA,"2.25269575526831",NA,NA,NA,NA,NA,"1.5064960268208",NA,NA,NA,"2.25307234528548",NA,NA,NA,NA
"CHRNB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.90160235504648",NA,NA,NA,NA,NA,NA,NA,NA,"1.24860140955855",NA
"CHST3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.67512491029398",NA,NA
"CIITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06592594175076",NA,"-1.63950226581857",NA,"-1.23978372208199",NA,NA,NA,NA,NA,NA
"CLEC10A",NA,NA,NA,NA,NA,NA,NA,"-2.27145038265318",NA,"-1.20112630742525","-1.0442274710505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.739433883636","-3.10341275357073",NA,"-3.2849440826409",NA,"-2.05561665818745",NA,NA,NA,NA
"CLEC4G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.12968400140477",NA,NA,NA,NA,NA,NA,"1.04888451106842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLEC6A",NA,NA,NA,"1.39128575039137","1.41729313858524",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7960029896099","1.07624129477665",NA,NA,"1.18535709967906",NA,NA,"1.70291442154541",NA,"1.67356240784109","1.03665629739361",NA,"1.44401641922656",NA,NA,NA,NA,NA,NA,NA
"CLNK",NA,NA,NA,NA,NA,NA,"-6.53248455442497","-2.79909242581889","-6.30739094799166",NA,NA,NA,NA,NA,NA,"-1.31660164256282",NA,NA,NA,NA,NA,NA,NA,"1.35277059170528",NA,"3.08455970338994",NA,"3.51267002999207",NA,"2.92470158190784",NA,NA,NA,NA
"CLU",NA,NA,NA,NA,NA,NA,NA,"1.85706061821659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.00324739424736","-1.57813057308782",NA,NA,NA,"1.40616454700267",NA,NA,NA,NA,NA,NA,NA
"CORO1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.65819711645637",NA,NA,NA,NA,NA,NA
"CPLX2",NA,NA,NA,NA,"-1.15766025009837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.46124683625797",NA,NA
"CR1",NA,NA,NA,NA,NA,NA,"1.50529296411492","1.63309408375935","1.99093712921979",NA,"1.64273090443805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.04947430115797","2.0925337991771","1.22738817113859","1.59001389070724",NA,"1.22648646383822",NA,NA,NA,NA
"CR2",NA,NA,NA,NA,NA,"-1.32414562041073","-2.89004434671144","-1.39670864515447","-4.28161994254384","-2.37175176504409",NA,NA,"-4.7117569067337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.39288546298953",NA,NA,NA,NA,NA,NA,NA
"CRISP3",NA,NA,NA,NA,"1.05854606754046",NA,"2.79574828869449","3.98643544342771","3.29348141852101","2.15313185965361",NA,NA,"3.05253887260717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.28450952668197","2.82546225075171","3.91627565272633","4.61800804240457",NA,"2.70558888689593",NA,NA,NA,NA
"CRTAM",NA,NA,NA,NA,NA,NA,"-2.86274331076435","-1.79358710819856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.26019092372157","-1.23428309120716","-1.31747591425579","-1.54181920557926",NA,NA,NA,NA,NA,NA
"CRTC3",NA,NA,NA,NA,NA,NA,"-1.16507368986699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSF1",NA,NA,NA,NA,NA,NA,NA,"1.83258102967003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.16791339240901","-1.43527956725281","-1.28234701690873"
"CSK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.62034788886612",NA,NA,NA,NA,NA,NA
"CTLA4",NA,NA,NA,NA,NA,NA,"-1.8682631669611","-1.55451768989018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.47061817786405",NA,NA,NA,NA,NA,NA,NA,NA
"CTNNB1",NA,NA,NA,NA,NA,NA,NA,NA,"1.06051115194478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTSG",NA,NA,NA,NA,NA,NA,"3.55222657826217","4.6210029247319",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.14040640441854",NA,NA,NA,NA,NA,NA,NA,NA,"5.28194691754989","2.45227885044481",NA,NA,NA,NA,NA,NA
"CTSH",NA,NA,NA,NA,NA,NA,"1.27492597348662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CX3CL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.95414931482179",NA,NA
"CX3CR1",NA,NA,NA,NA,NA,NA,"-2.30142250651651","-1.97525619302359",NA,NA,NA,NA,NA,NA,NA,"1.40776689614512",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.40619402600307",NA,"-2.49279879486457",NA,NA,NA,"1.40737164849526",NA,NA
"CXADR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.28051407292377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.03685138840302",NA,NA
"CXCL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.65910936153108",NA,NA,NA,NA,NA,"-2.14585899471048","-2.95212180489899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL17",NA,NA,NA,"2.76439397475026",NA,NA,NA,NA,NA,NA,"2.84029835963389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL2",NA,NA,NA,NA,NA,"2.90636215279952",NA,"2.15347877637858",NA,"2.37154334724161",NA,NA,NA,NA,"1.12255929421069","-1.0900447940033",NA,NA,"1.20239260890337",NA,NA,NA,"-1.77835805826263","2.8570373544727","2.54260948516824","2.5192042033095","2.77334674548048","3.18237789332738",NA,"3.62218565152765",NA,"-3.56439375962181","-1.79115124082954","-1.89886404264409"
"CXCL3",NA,NA,NA,NA,NA,"3.50602503560999","2.81453669102866","1.85051248326145",NA,NA,NA,NA,NA,NA,NA,"-1.48780418473056",NA,NA,NA,NA,NA,"1.33420116277411","-1.89433854151199","3.52574257815868","2.09096382924169",NA,"1.48946015820534","2.04894575167786",NA,NA,NA,"-2.23679700706538",NA,NA
"CXCL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.49372379743965","1.22932718610772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.61937224250638","-2.12431600734088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.08561107260409",NA,NA,NA,NA,NA,NA,"-2.64622439223432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL8",NA,"-1.59904807452039",NA,NA,NA,NA,NA,"-1.56274230851984",NA,NA,NA,NA,NA,NA,NA,"-2.85162830293526",NA,NA,NA,NA,NA,NA,"-2.18279928215011",NA,"-1.83095729466645",NA,NA,NA,NA,"2.11671933463737",NA,"-3.03207415054439","-2.10952401410755","-2.20092920197501"
"CXCL9",NA,NA,NA,"2.67882676017925","2.44477928847698",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.65268253468351","1.52018063809042",NA,NA,NA,NA,NA,"2.5797457675519",NA,"3.71499380910112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.26265235229675",NA,"1.07059471632481",NA,NA,NA,"-2.26871974351677","-2.88577571111346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.39780187520757",NA,NA,NA,NA,NA,"-1.81924725469784","-2.30824259173066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.16049369193529",NA,NA,NA,"1.43597027229911",NA,"1.16188997343232",NA,"1.06859825261175",NA,"-1.63223966088533",NA,NA
"CXCR5",NA,NA,NA,NA,NA,"-1.12417432120748","-5.82033125323798","-1.85712997750357","-3.53634529561681",NA,NA,NA,"-3.11850847412809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.56383288667347",NA,"-1.62339395281092",NA,NA,NA,NA,NA,NA,NA
"CYBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.39611387866357",NA,NA,NA,NA,NA,"-1.24989032098296",NA,NA,NA,NA,NA,NA
"DDX60",NA,NA,NA,"1.79702657541567","1.7350535379937",NA,"3.03682646678933","3.02733363505264",NA,NA,NA,NA,NA,NA,"1.83424216512794","1.24939148640092",NA,NA,"2.1472720514221",NA,NA,"1.58083813465786",NA,"2.49785780710401","2.60735152403775",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEFA1",NA,NA,NA,NA,"2.59858171614224",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.64893274314224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEFA3",NA,NA,NA,NA,"1.18737893144738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEFA4",NA,NA,NA,NA,NA,NA,"5.16076160198327","5.18537402324055","4.79169561891606",NA,NA,NA,"5.06077567717669",NA,NA,NA,NA,"1.25392569322606",NA,NA,NA,NA,NA,NA,"2.42149497309809","3.35054692231887","5.88690240640794","4.15764989625618",NA,"3.64746058097225",NA,NA,NA,NA
"DEFB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.83011189078715",NA,NA,NA,NA,NA,"4.06903297388078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNASE1",NA,NA,NA,NA,NA,NA,NA,NA,"-1.25207731520558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.19012937625778",NA,NA,NA,NA,NA,NA
"DPEP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.77248366034777",NA,NA
"DPP4",NA,NA,NA,NA,NA,NA,"-2.28524797160811","-1.72310242274355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.33645451853654","-2.3935239891542",NA,NA,NA,NA,NA,NA,NA,NA
"DTX1",NA,NA,NA,NA,NA,NA,"-2.51334954804491",NA,"-3.20579200869502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.59383380973498",NA,"-1.79947601310326",NA,"-1.74932769033378",NA,NA,NA,NA
"EDN3",NA,NA,NA,NA,NA,NA,NA,"-1.8875098180248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNRB",NA,NA,NA,"1.31224330141951","1.40613509039329",NA,NA,"2.11122519398309",NA,NA,"2.96523819744868",NA,NA,NA,NA,"1.25238910859679",NA,NA,NA,NA,NA,NA,NA,NA,"3.86089818423862",NA,"3.28396593314777",NA,NA,NA,NA,NA,NA,NA
"EFNB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.19252416954987",NA,"-1.86584174890078",NA,NA,NA,NA,NA,NA
