"","process","gene_ratio","bg_ratio","pvalue","p_adjust","qvalue","gene_id","count","condition","ora_enrichment","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","color","color_covid_other","log_q"
"137","EOSINOPHIL","6/76","22/884",0.00811390282864148,0.0427363845429087,0.0299904452932692,"CCL24/CCL2/CCL7/CCL1/CCL18/CCL8",6,"ChAd-BNT (V2, D3)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",3,3,1,1,2,0,"#56cfe1","#56cfe1",1.52301708585855
"138","NEUTROPHIL","14/76","85/884",0.00949697434286859,0.0427363845429087,0.0299904452932692,"CCL24/CCL2/AXL/CCL7/CCL1/CCL18/CXCR2/CCL20/CXCL9/CXCL1/CCL8/CXCL5/CXCL3/CXCR1",14,"ChAd-BNT (V2, D3)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",3,3,1,1,2,0,"#56cfe1","#56cfe1",1.52301708585855
"139","MONOCYTE","7/76","32/884",0.0152471628524869,0.0548897862689527,0.0385191482589142,"CCL24/CCL2/CCL7/CCL1/CCL18/CCL20/CCL8",7,"ChAd-BNT (V2, D3)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",3,3,1,1,2,0,"#56cfe1","#56cfe1",1.41432332462495
"140","ANTIMICROBIAL","10/76","63/884",0.0359326778954159,0.107798033686248,0.0756477429377177,"HAMP/CCL1/DEFB1/CCL18/CCL20/CXCL9/CXCL1/CCL8/CXCL5/CXCL3",10,"ChAd-BNT (V2, D3)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",3,3,1,1,2,0,"#56cfe1","#56cfe1",1.12120402526561
"141","NEUTROPHIL","18/50","85/884",1.29218614715503e-07,2.32593506487906e-06,1.63223513324846e-06,"CCL2/CCL4/CCL7/MPL/CCL3/CCL20/CXCL3/CXCL6/CXCL8/CXCR2/SCNN1B/CXCL1/CXCL2/PF4V1/CXCR1/CXCL5/CCL8/CCL3L1",18,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",5.7872172783538
"142","MONOCYTE","9/50","32/884",2.97248741886735e-05,0.000267523867698061,0.000187736047507411,"CCL2/CCL4/CCL7/MPL/CCL3/CCL20/CCL8/CCL3L1/SPACA3",9,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",3.72645232977362
"143","EOSINOPHIL","7/50","22/884",0.000107832488519824,0.000646994931118942,0.000454031530609784,"CCL2/CCL4/CCL7/MPL/CCL3/CCL8/CCL3L1",7,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",3.34291398614213
"144","ANTIMICROBIAL","10/50","63/884",0.00174156587327201,0.00783704642972406,0.00549968170506952,"CCL20/CXCL3/CXCL6/CXCL8/CXCL1/CXCL2/PF4V1/CXCL5/CCL8/ADM",10,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",2.25966244463885
"145","ARPP","13/50","131/884",0.0238446455027578,0.085840723809928,0.0602391044280196,"CCL2/CCL4/CCL7/MPL/CCL3/CCL20/CXCR2/CXCR1/CCL8/CCL3L1/BATF2/CCR1/SPACA3",13,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",1.22012149339534
"146","ANTIVIRAL & IFN","10/50","101/884",0.0487753693212303,0.139492537462975,0.0978894999740172,"CCL2/CCL4/CCL7/IFIT2/CCL3/CCL20/CCL8/CCL3L1/IFIT1/IL12B",10,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",1.00926388989148
"147","HUMORAL ADAPTIVE IMMUNE SYSTEM","20/50","255/884",0.0542470979022679,0.139492537462975,0.0978894999740172,"PTX3/CCL2/MPL/CCL20/CXCL3/WFDC3/CXCL6/CXCL8/ADGRG3/CD38/CXCL1/CXCL2/PF4V1/CXCL5/CCL8/EPB42/ADM/PBX1/CD83/PI3",20,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",1.00926388989148
"148","GENERAL","36/50","538/884",0.0631620532562624,0.14211461982659,0.0997295577730459,"CCL2/CCL4/CCL7/IFIT2/CCL3/CLU/CCL20/CXCL3/WFDC3/BTNL8/CXCL6/CXCL8/CXCR2/IL1RN/SCNN1B/CXCL1/CXCL2/TREML4/PF4V1/CXCR1/CXCL5/CCL8/CEBPB/TNFRSF17/CCL3L1/IFIT1/FCGR1A/TNFSF4/ADM/CD300LD/IL1R2/CD83/PI3/CCR1/SELP/BMP6",36,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",1.00117610673081
"149","DENDRITIC CELL","4/50","29/884",0.0754469519782511,0.150893903956502,0.105890458916844,"CXCR2/CXCR1/BATF2/CCR1",4,"ChAd-BNT (V2, D7)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",7,7,1,1,2,0,"#56cfe1","#56cfe1",0.975143169509498
"150","GENERAL","75/93","538/884",1.43143033815115e-05,0.000257657460867207,0.000241083004320194,"IFI35/MX2/CCL3L1/FCGR2B/CCL3/CCL2/IFIT1/IFITM3/TAP2/IFIT2/APOBEC3A/BST2/HLA-DMA/CXCL9/CLEC6A/PRDX2/RIGI/FCGR1A/FASLG/TNFSF10/LILRB1/CD40/CCL8/TAP1/GBP2/FCGR2C/ADAR/CIITA/ACKR3/MX1/CD7/HLA-DMB/OAS2/KIR3DL1/GBP1/FAS/IL34/LILRB4/CD247/IRF1/HLA-DPA1/IL31RA/TRIM22/PRF1/FLT3/GNLY/NLRC5/CFB/IDO1/CD300LD/EIF2AK2/GBP6/IL15/CXCL2/CASP4/RGS1/PML/CTSW/IL1RN/IFI30/BCAR1/CXCL3/IFI6/CXCR3/IDO2/DDX60/IFITM1/PDE4B/IL27/CD83/PARP9/IRF9/LIF/PSMB9/RNF213",75,"ChAd-BNT (V3, D1)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",1,1,1,1,3,0,"#56cfe1","#56cfe1",3.61783340509382
"151","ANTIVIRAL & IFN","23/93","101/884",9.88551729604763e-05,0.000889696556644287,0.000832464614404011,"CASP1/CCL3L1/CCL3/CCL2/IFIT1/IFITM3/IFIT2/MRC1/RIGI/FASLG/CCL8/GBP2/SP100/MX1/OAS2/GBP1/IRF1/HLA-DPA1/EIF2AK2/GBP6/STAT1/STAT2/IFITM1",23,"ChAd-BNT (V3, D1)","ImmuneGO","BNT","COVID","VIRUS","SARS","V","RNA","HE",1,1,1,1,3,0,"#56cfe1","#56cfe1",3.07963421799665
"152","GENERAL","130/187","538/884",0.00373769655718041,0.0710162345864278,0.0708195137149972,"IFI27/MS4A2/IL18RAP/ITGB8/IL1R2/RNASE4/HMGB2/TRIM22/RNF135/LTB/IL10/CLEC10A/DDX60/OAS2/IFI6/CFB/EIF2AK2/FLT3/CD1C/CD81/GPR183/S100A7/MX1/S100A12/CD6/CD40LG/ZAP70/THBS1/FCER1G/PARP9/CD177/IL15/LILRA6/ITGB7/PRKCE/CD3G/IFIT1/IL1R1/IFITM1/LY86/GZMM/ETS1/CD8B/CD96/TCF7/BCL6/IL7R/C1R/CCR7/SFTPD/SPN/THEMIS/TNFRSF17/IL32/CXCL2/CXCL3/FCGR1A/GATA3/S1PR1/RNASE3/ITGA3/KLRC2/TARM1/CRTAM/IRGM/SKAP1/CTSK/RORC/TGFBR3/ADD2/LILRA4/CXCR3/IRAK1BP1/PIK3R1/CTSW/IFI30/FCAR/HLA-C/GBP6/SELP/IL34/GCNT1/IL1RN/CD247/CRIP1/SUSD4/SLC15A4/HP/LCN2/PKHD1L1/DBH/ZNF683/CCL5/BST1/CEACAM8/S1PR4/LILRB4/APOBEC3A/SPNS2/CLEC6A/BCL2/PML/BPI/CD28/IFIT2/ITK/CXCL8/IL23R/GBP1/DEFA4/CD7/IFI35/TNFSF10/CR1/CXCR5/CNR2/CD1E/CAMP/PRF1/TAP1/F2/KLRK1/LILRA5/EOMES/BCL3/TLR4/GNLY/VCAM1/ADM/GBP2",130,"I (D10, moderate)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",10,10,1,2,0,1,"#f72585","#56cfe1",1.14984705966797
"153","CELLULAR ADAPTIVE IMMUNE SYSTEM","85/211","282/884",0.00200544973722801,0.0205704074657791,0.0170945214397056,"FCER1A/IFNGR1/CD40LG/JMJD6/CCND3/TESPA1/MEN1/TCF7/PRKDC/ADAM17/RORC/PKNOX1/SRC/RPL22/BCL6/GPR15/SLC11A1/DPP4/ITGB7/IL7R/CCNB2/RHOA/LCP1/S1PR1/SPN/CD6/CDH26/CR1/RC3H1/CCL20/ITGAM/CD81/MAP3K8/GATA3/CCR7/PPP2CA/CD3G/JAK3/DTX1/LFNG/CCL2/CD28/ZFP36L2/PRDX2/PLCG1/CEBPB/RASGRP1/CD1C/IL10/THEMIS2/CD86/FCER1G/RAB27A/STAT5B/GPR89B/HLA-E/GPR183/CD24/MAPK3/CX3CR1/STAT3/JAG1/BCL10/THEMIS/DEFA4/LILRB1/BCL3/CDK6/IL4R/CRTAM/IFNGR2/ZFPM1/APBB1IP/GZMM/CCR2/CTLA4/IDO1/ZAP70/EFNB1/ITK/FUT7/BTNL8/AZU1/IL12B/BTNL9",85,"I (D10, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",10,10,1,2,0,1,"#f72585","#56cfe1",1.76714305275006
"154","T CELL","71/211","228/884",0.00216530604902938,0.0205704074657791,0.0170945214397056,"FCER1A/CD40LG/JMJD6/CCND3/TESPA1/TCF7/PRKDC/ADAM17/PKNOX1/SRC/RPL22/BCL6/GPR15/SLC11A1/DPP4/ITGB7/IL7R/CCNB2/RHOA/LCP1/S1PR1/SPN/CD6/CDH26/CR1/RC3H1/CCL20/CD81/MAP3K8/GATA3/CCR7/PPP2CA/CD3G/JAK3/DTX1/LFNG/CCL2/CD28/ZFP36L2/PRDX2/PLCG1/RASGRP1/CD1C/IL10/THEMIS2/CD86/FCER1G/RAB27A/STAT5B/GPR89B/HLA-E/GPR183/CD24/JAG1/BCL10/THEMIS/DEFA4/LILRB1/CDK6/CRTAM/APBB1IP/GZMM/CTLA4/IDO1/ZAP70/EFNB1/ITK/FUT7/BTNL8/IL12B/BTNL9",71,"I (D10, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",10,10,1,2,0,1,"#f72585","#56cfe1",1.76714305275006
"155","T HELPER CELLS","14/211","31/884",0.00660271698276884,0.041817207557536,0.0347511420145728,"MEN1/RORC/BCL6/SPN/RC3H1/GATA3/CEBPB/GPR183/STAT3/BCL3/IL4R/ZFPM1/CCR2/IL12B",14,"I (D10, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",10,10,1,2,0,1,"#f72585","#56cfe1",1.45903091877235
"156","INFLAMMATION","9/211","21/884",0.0410234209714463,0.19486124961437,0.161934556466236,"HMGB2/RBPJ/CD6/NLRP6/PRDX2/RASGRP1/IL10/IL5RA/IL31RA",9,"I (D10, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",10,10,1,2,0,1,"#f72585","#56cfe1",0.790660463901453
"157","CELLULAR ADAPTIVE IMMUNE SYSTEM","55/126","282/884",0.0018716400730975,0.0253468840666749,0.0224681520812631,"CD24/DEFA4/CCNB2/AZU1/ITGB7/GPR89B/IFNGR1/CCND3/MYB/S1PR1/JAG1/CD40LG/ITGAM/FCER1A/NLRC3/TCF7/FCER1G/TESPA1/PLCG1/CCR7/IL10/ZAP70/CD6/CRTAM/GATA3/GPR15/CD3G/ZFPM1/EOMES/CD247/RORC/IL7R/CD8B/BCL6/GZMM/SLC11A1/RASGRP1/PRF1/CR1/SKAP1/CD28/PIK3R1/JMJD6/RAG1/TNFRSF4/THEMIS/TXK/RORA/SNCA/KLRK1/CLU/CD7/TOX/CR2/LAG3",55,"I (D26, moderate)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",26,26,1,4,0,1,"#f72585","#56cfe1",1.64843264515597
"158","T CELL","46/126","228/884",0.00266809305964999,0.0253468840666749,0.0224681520812631,"CD24/DEFA4/CCNB2/ITGB7/GPR89B/CCND3/S1PR1/JAG1/CD40LG/FCER1A/NLRC3/TCF7/FCER1G/TESPA1/PLCG1/CCR7/IL10/ZAP70/CD6/CRTAM/GATA3/GPR15/CD3G/EOMES/CD247/IL7R/CD8B/BCL6/GZMM/SLC11A1/RASGRP1/PRF1/CR1/SKAP1/CD28/PIK3R1/JMJD6/RAG1/TNFRSF4/THEMIS/TXK/KLRK1/CD7/TOX/CR2/LAG3",46,"I (D26, moderate)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",26,26,1,4,0,1,"#f72585","#56cfe1",1.64843264515597
"159","GENERAL","90/126","538/884",0.00519318296085102,0.0328901587520565,0.0291547113591636,"OLR1/BPI/RNASE3/CEACAM8/LCN2/DEFA4/TARM1/IL1R2/IL18RAP/CTSG/CAMP/S100A12/AZU1/ITGB7/RNASE4/HP/CD177/IL1R1/ELANE/S1PR1/HMGB2/CD40LG/ITGAM/CXCL2/CLEC6A/FLT3/TCF7/ITGA3/FCER1G/CCR7/IL10/ZAP70/LTB/CD6/CRTAM/GATA3/SELP/TBKBP1/LY86/CD3G/C1R/FCAR/DBH/MS4A2/THBS1/EOMES/CD247/BMI1/CTSK/RORC/LILRA6/PRTN3/IL7R/CD8B/KLRC2/TGFBR3/BCL6/GZMM/SLC11A1/ETS1/CD96/PRF1/IFITM2/CR1/ALOX5/SKAP1/CTSW/KIR3DL1/BST1/SFTPD/CD28/PIK3R1/VSTM1/IRAK1BP1/RAG1/LAX1/FASLG/CXCR5/TNFRSF4/THEMIS/TXK/CXCL3/HRH2/KLRK1/LILRA5/LILRA4/CLU/CD7/CR2/LAG3",90,"I (D26, moderate)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",26,26,1,4,0,1,"#f72585","#56cfe1",1.53529125387398
"160","T CELL","66/195","228/884",0.002794727785529,0.053099827925051,0.0500109182673611,"MYO1G/CCNB2/SRC/PPP2R1A/LFNG/CD81/ZAP70/ITPKB/CD24/FCER1A/AKT1/GZMM/PRF1/SPN/CD247/CD7/CD1C/CD6/BCL6/PRDX2/CSK/JMJD6/CACNB3/ITGB7/CD40LG/CORO1A/S1PR1/IL7R/FCER1G/PPP2CA/EFNB1/RC3H1/DEFA4/LILRB1/CD3G/TCF7/MAP3K8/CRTAM/PLCG1/CCR7/CDH26/NLRC3/ADAM17/JAG1/CR1/TESPA1/ZFP36L2/PSMB10/IL10/ADA/BCL10/JAK3/CAV1/GATA3/DTX1/IL12B/SPNS2/ZNF683/CD160/EOMES/ITK/CCL20/GPR15/FAS/MDK/TXK",66,"I (D26, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",26,26,1,4,0,1,"#f72585","#56cfe1",1.30093517115146
"161","CELLULAR ADAPTIVE IMMUNE SYSTEM","75/195","282/884",0.0169379463196383,0.160910490036564,0.151550046017817,"MEN1/MYO1G/CCNB2/SRC/PPP2R1A/LFNG/CD81/ZAP70/ITPKB/CD24/FCER1A/AKT1/IFNGR1/GZMM/PRF1/SPN/CD247/CD7/CD1C/CD6/BCL6/PRDX2/CSK/JMJD6/CACNB3/ITGB7/CD40LG/RORC/CORO1A/S1PR1/IL7R/FCER1G/PPP2CA/EFNB1/RC3H1/DEFA4/LILRB1/CD3G/TCF7/MAP3K8/CRTAM/PLCG1/CCR7/CDH26/NLRC3/ADAM17/JAG1/CX3CR1/CR1/TESPA1/ZFP36L2/ZFPM1/GRN/PSMB10/IL10/ADA/BCL10/JAK3/CAV1/GATA3/DTX1/IL12B/SPNS2/ZNF683/CD160/EOMES/ITK/CCL20/EPHB3/CACNB4/GPR15/FAS/MDK/TXK/BCL3",75,"I (D26, severe)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I",26,26,1,4,0,1,"#f72585","#56cfe1",0.819443927423836
"162","B CELL","6/6","155/884",2.67994965020942e-05,5.35989930041884e-05,1.4104998158997e-05,"PAX5/MS4A1/CD19/CD22/CD79A/BANK1",6,"I-I (D1)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I-I",1,1,1,1,0,2,"#f72585","#56cfe1",4.8506269661933
"163","IMMUNOGLOBULIN MEDIATED RESPONSE","6/6","155/884",2.67994965020942e-05,5.35989930041884e-05,1.4104998158997e-05,"PAX5/MS4A1/CD19/CD22/CD79A/BANK1",6,"I-I (D1)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I-I",1,1,1,1,0,2,"#f72585","#56cfe1",4.8506269661933
"164","HUMORAL ADAPTIVE IMMUNE SYSTEM","6/6","255/884",0.00055230589645535,0.000736407861940466,0.000193791542615912,"PAX5/MS4A1/CD19/CD22/CD79A/BANK1",6,"I-I (D1)","ImmuneGO","I","COVID","VIRUS","SARS","I","I","I-I",1,1,1,1,0,2,"#f72585","#56cfe1",3.71266518020263
"165","NEUTROPHIL","18/72","85/884",5.21866414245884e-05,0.000991546187067179,0.00071413298791542,"CX3CL1/DPEP1/CXCL2/CCL8/CCL20/CCR2/CXADR/CXCL3/SCNN1B/GP2/CXCL8/F2/CSF1/PDE4B/CD177/EMP2/CCL3/CCL4",18,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",3.14622090511492
"166","ARPP","19/72","131/884",0.00538331597580759,0.0511415017701721,0.0368332145713151,"CX3CL1/ADGRF5/CDC42/NFKBIA/RELB/ITGB8/CCL8/CCL20/TNFAIP3/CCR2/CXCR4/TICAM1/IL33/IL13/GPR183/FOSL1/CSF1/CCL3/CCL4",19,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",1.43376037700004
"167","ANTIMICROBIAL","11/72","63/884",0.0094152454886052,0.054178711578458,0.0390206786991664,"BCL3/CXCL2/CCL8/CCL20/HTN1/CXCL14/ADM/CXCL3/CXCL8/F2/HTN3",11,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",1.40870518105274
"168","MONOCYTE","7/72","32/884",0.0114060445428333,0.054178711578458,0.0390206786991664,"CX3CL1/CCL8/CCL20/CCR2/CSF1/CCL3/CCL4",7,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",1.40870518105274
"169","MACROPHAGE","7/72","35/884",0.0186703898152341,0.0709474812978895,0.0510979089680091,"ADGRF5/CCR2/TICAM1/IL33/IL13/CSF1/CCL3",7,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",1.29159687172901
"170","T HELPER CELLS","6/72","31/884",0.0338500141824718,0.107191711577828,0.0772017867319533,"BCL3/RELB/BCL6/CCR2/GPR183/CEBPB",6,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",1.11237264838384
"171","HUMORAL ADAPTIVE IMMUNE SYSTEM","27/72","255/884",0.06220339441104,0.167100142210453,0.120349132893955,"BCAR1/BCL3/CXCL2/NFKBIA/CCL8/CD83/BCL6/CCL20/TNFAIP3/NKX2-3/CCR2/HTN1/TICAM1/CXCL14/ADM/WNT3A/PTX3/CXCL3/IRF2BP2/CXCL8/GPR183/WFDC11/F2/CACNB4/SPNS2/HTN3/C4B",27,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",0.919557034435293
"172","CELLULAR ADAPTIVE IMMUNE SYSTEM","29/72","282/884",0.0739662937474837,0.167100142210453,0.120349132893955,"CX3CL1/BCAR1/BCL3/CD276/RELB/MAP3K8/IL2/CD83/PPP2CA/BCL6/CCL20/CCR2/CHST3/IL33/CXADR/EPHB1/CX3CR1/IL13/GPR183/CEBPB/CACNB4/EPHB3/SPNS2/PDE4B/FYB2/NRARP/EMP2/FOXI3/CCL3",29,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",0.919557034435293
"173","DENDRITIC CELL","5/72","29/884",0.0791526989417933,0.167100142210453,0.120349132893955,"CDC42/RELB/CCR2/CXCR4/GPR183",5,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",0.919557034435293
"174","EOSINOPHIL","4/72","22/884",0.0964294875567701,0.183216026357863,0.131956140867159,"CX3CL1/CCL8/CCL3/CCL4",4,"ZF2001 (V3, D07)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",7,7,1,1,3,0,"#b5e48c","#56cfe1",0.879570394131584
"175","NEUTROPHIL","5/9","85/884",0.000678250545636081,0.00949550763890514,0.00571158354219858,"CXCL2/CCL20/CXCL8/CSF1/CCL3",5,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",2.24324346648377
"176","MONOCYTE","3/9","32/884",0.00312626280440629,0.0218838396308441,0.0131632118080265,"CCL20/CSF1/CCL3",3,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",1.88063813045492
"177","ARPP","5/9","131/884",0.00508065010667894,0.023709700497835,0.0142614739836602,"NFKBIA/CCL20/TNFAIP3/CSF1/CCL3",5,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",1.8458355859927
"178","HUMORAL ADAPTIVE IMMUNE SYSTEM","6/9","255/884",0.0202328894065492,0.0595623261577248,0.0358269631023909,"CXCL2/NFKBIA/CCL20/TNFAIP3/PTX3/CXCL8",6,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",1.44579000354953
"179","ANTIMICROBIAL","3/9","63/884",0.0212722593420446,0.0595623261577248,0.0358269631023909,"CXCL2/CCL20/CXCL8",3,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",1.44579000354953
"180","MACROPHAGE","2/9","35/884",0.0460475079795312,0.107444185285573,0.0646280813747806,"CSF1/CCL3",2,"ZF2001 (V3, D28)","ImmuneGO","ZF2001","COVID","VIRUS","SARS","V","SU","HE",28,28,1,4,3,0,"#b5e48c","#56cfe1",1.18957873686263
